state,date,income_mean,income_median
Selangor,1970-01-01,421,
Selangor,1974-01-01,598,363.0
Selangor,1976-01-01,735,441.0
Selangor,1979-01-01,1067,647.0
Selangor,1984-01-01,1590,1010.0
Selangor,1987-01-01,1558,1049.0
Selangor,1989-01-01,1658,1145.0
Selangor,1992-01-01,2280,1572.0
Selangor,1995-01-01,3162,2255.0
Selangor,1997-01-01,4006,2850.0
Selangor,1999-01-01,3702,2750.0
Selangor,2002-01-01,4406,3144.0
Selangor,2004-01-01,5175,3588.0
Selangor,2007-01-01,5580,4046.0
Selangor,2009-01-01,5962,4306.0
Selangor,2012-01-01,7023,5353.0
Selangor,2014-01-01,8252,6214.0
Selangor,2016-01-01,9463,7225.0
Selangor,2019-01-01,10827,8210.0
Selangor,2020-01-01,9668,7300.0
Selangor,2022-01-01,12233,9983.0
W.P. Kuala Lumpur,1976-01-01,1058,645.0
W.P. Kuala Lumpur,1984-01-01,1920,1217.0
W.P. Kuala Lumpur,1987-01-01,1790,1180.0
W.P. Kuala Lumpur,1989-01-01,1824,1294.0
W.P. Kuala Lumpur,1992-01-01,2429,1753.0
W.P. Kuala Lumpur,1995-01-01,3371,2321.0
W.P. Kuala Lumpur,1997-01-01,4768,3090.0
W.P. Kuala Lumpur,1999-01-01,4105,2828.0
W.P. Kuala Lumpur,2002-01-01,4930,3364.0
W.P. Kuala Lumpur,2004-01-01,5011,3336.0
W.P. Kuala Lumpur,2007-01-01,5322,3697.0
W.P. Kuala Lumpur,2009-01-01,5488,4409.0
W.P. Kuala Lumpur,2012-01-01,8586,5847.0
W.P. Kuala Lumpur,2014-01-01,10629,7620.0
W.P. Kuala Lumpur,2016-01-01,11692,9073.0
W.P. Kuala Lumpur,2019-01-01,13257,10549.0
W.P. Kuala Lumpur,2020-01-01,11728,9093.0
W.P. Kuala Lumpur,2022-01-01,13325,10234.0
