state,date,households,living_quarters
Johor,1970-01-01,214804,217392
Johor,1980-01-01,287527,306410
Johor,1991-01-01,423130,503486
Johor,2000-01-01,572653,696759
Johor,2010-01-01,810290,927200
Johor,2011-01-01,828500,945500
Johor,2012-01-01,846000,961000
Johor,2013-01-01,863300,976600
Johor,2014-01-01,880600,992200
Johor,2015-01-01,897600,1007800
Johor,2016-01-01,914700,1023400
Johor,2017-01-01,932000,1039099
Johor,2018-01-01,949100,1054700
Johor,2019-01-01,966000,1070200
Johor,2020-01-01,1017727,1244935
Johor,2021-01-01,1045400,1284000
Johor,2022-01-01,1073400,1323700
Johor,2023-01-01,1101800,1364100
Johor,2024-01-01,1130600,1405200
Kedah,1970-01-01,185080,196889
Kedah,1980-01-01,215596,234253
Kedah,1991-01-01,271175,321588
Kedah,2000-01-01,341757,395235
Kedah,2010-01-01,454230,529100
Kedah,2011-01-01,461100,538800
Kedah,2012-01-01,467800,547900
Kedah,2013-01-01,474700,557200
Kedah,2014-01-01,481800,566500
Kedah,2015-01-01,489200,575900
Kedah,2016-01-01,496800,585400
Kedah,2017-01-01,504700,595000
Kedah,2018-01-01,512799,604700
Kedah,2019-01-01,521000,614500
Kedah,2020-01-01,528228,631055
Kedah,2021-01-01,537500,641200
Kedah,2022-01-01,546900,651400
Kedah,2023-01-01,556300,661800
Kedah,2024-01-01,565900,672200
Kelantan,1970-01-01,145380,151301
Kelantan,1980-01-01,177799,188579
Kelantan,1991-01-01,231641,264720
Kelantan,2000-01-01,255975,295610
Kelantan,2010-01-01,318490,347100
Kelantan,2011-01-01,322000,358300
Kelantan,2012-01-01,325700,363600
Kelantan,2013-01-01,329400,368900
Kelantan,2014-01-01,333400,374300
Kelantan,2015-01-01,337400,379700
Kelantan,2016-01-01,341600,385100
Kelantan,2017-01-01,346000,390700
Kelantan,2018-01-01,350400,396300
Kelantan,2019-01-01,355000,402100
Kelantan,2020-01-01,363251,430354
Kelantan,2021-01-01,370000,441000
Kelantan,2022-01-01,376700,451900
Kelantan,2023-01-01,383600,462800
Kelantan,2024-01-01,390500,473900
Melaka,1970-01-01,68238,68886
Melaka,1980-01-01,81102,87269
Melaka,1991-01-01,102158,121290
Melaka,2000-01-01,134976,175593
Melaka,2010-01-01,196910,240200
Melaka,2011-01-01,201600,245000
Melaka,2012-01-01,206200,249300
Melaka,2013-01-01,210800,253600
Melaka,2014-01-01,215600,258000
Melaka,2015-01-01,220400,262400
Melaka,2016-01-01,225300,266900
Melaka,2017-01-01,230300,271400
Melaka,2018-01-01,235200,275900
Melaka,2019-01-01,240000,280500
Melaka,2020-01-01,267074,319753
Melaka,2021-01-01,276000,329600
Melaka,2022-01-01,285000,339600
Melaka,2023-01-01,294200,349800
Melaka,2024-01-01,303600,360100
Negeri Sembilan,1970-01-01,86171,92869
Negeri Sembilan,1980-01-01,105336,122352
Negeri Sembilan,1991-01-01,144275,180173
Negeri Sembilan,2000-01-01,185776,242218
Negeri Sembilan,2010-01-01,243560,324400
Negeri Sembilan,2011-01-01,248800,331900
Negeri Sembilan,2012-01-01,254000,338000
Negeri Sembilan,2013-01-01,259500,344000
Negeri Sembilan,2014-01-01,264900,350200
Negeri Sembilan,2015-01-01,270400,356300
Negeri Sembilan,2016-01-01,275900,362500
Negeri Sembilan,2017-01-01,281400,368800
Negeri Sembilan,2018-01-01,287000,375100
Negeri Sembilan,2019-01-01,292700,381500
Negeri Sembilan,2020-01-01,315497,392631
Negeri Sembilan,2021-01-01,324700,401700
Negeri Sembilan,2022-01-01,334000,410900
Negeri Sembilan,2023-01-01,343500,420100
Negeri Sembilan,2024-01-01,353200,429500
Pahang,1970-01-01,98407,103890
Pahang,1980-01-01,151409,166890
Pahang,1991-01-01,210811,239894
Pahang,2000-01-01,272214,304084
Pahang,2010-01-01,324580,371600
Pahang,2011-01-01,329700,377200
Pahang,2012-01-01,334700,382700
Pahang,2013-01-01,339600,388200
Pahang,2014-01-01,344500,393800
Pahang,2015-01-01,349600,399500
Pahang,2016-01-01,354800,405200
Pahang,2017-01-01,360200,411000
Pahang,2018-01-01,365800,416900
Pahang,2019-01-01,371300,422800
Pahang,2020-01-01,401534,458972
Pahang,2021-01-01,411500,470200
Pahang,2022-01-01,421700,481500
Pahang,2023-01-01,432000,493000
Pahang,2024-01-01,442400,504600
Perak,1970-01-01,279299,274908
Perak,1980-01-01,333207,344013
Perak,1991-01-01,398994,471599
Perak,2000-01-01,454100,552185
Perak,2010-01-01,586440,691000
Perak,2011-01-01,594200,703200
Perak,2012-01-01,602600,711100
Perak,2013-01-01,611200,719100
Perak,2014-01-01,620000,727200
Perak,2015-01-01,629000,735400
Perak,2016-01-01,638100,743700
Perak,2017-01-01,647400,752100
Perak,2018-01-01,656600,760600
Perak,2019-01-01,665800,769300
Perak,2020-01-01,672855,808323
Perak,2021-01-01,684000,824200
Perak,2022-01-01,695300,840200
Perak,2023-01-01,706800,856500
Perak,2024-01-01,718500,873100
Perlis,1970-01-01,25175,26461
Perlis,1980-01-01,32009,33605
Perlis,1991-01-01,39973,44576
Perlis,2000-01-01,44863,50242
Perlis,2010-01-01,54260,61300
Perlis,2011-01-01,54800,62700
Perlis,2012-01-01,55300,63400
Perlis,2013-01-01,56000,64200
Perlis,2014-01-01,56600,64900
Perlis,2015-01-01,57400,65700
Perlis,2016-01-01,58200,66500
Perlis,2017-01-01,59000,67400
Perlis,2018-01-01,59900,68300
Perlis,2019-01-01,60800,69200
Perlis,2020-01-01,80850,73104
Perlis,2021-01-01,84300,74400
Perlis,2022-01-01,87700,75800
Perlis,2023-01-01,91300,77200
Perlis,2024-01-01,94900,78600
Pulau Pinang,1970-01-01,134514,123405
Pulau Pinang,1980-01-01,164242,156624
Pulau Pinang,1991-01-01,212663,229473
Pulau Pinang,2000-01-01,280903,355436
Pulau Pinang,2010-01-01,400110,480400
Pulau Pinang,2011-01-01,410500,491300
Pulau Pinang,2012-01-01,420800,499800
Pulau Pinang,2013-01-01,430900,508200
Pulau Pinang,2014-01-01,440800,516700
Pulau Pinang,2015-01-01,450700,525100
Pulau Pinang,2016-01-01,460600,533600
Pulau Pinang,2017-01-01,470400,542000
Pulau Pinang,2018-01-01,480200,550300
Pulau Pinang,2019-01-01,489700,558600
Pulau Pinang,2020-01-01,495347,587008
Pulau Pinang,2021-01-01,507600,600500
Pulau Pinang,2022-01-01,519900,614100
Pulau Pinang,2023-01-01,532400,627900
Pulau Pinang,2024-01-01,545100,641900
Sabah,1970-01-01,120922,17990
Sabah,1980-01-01,177825,187585
Sabah,1991-01-01,336602,369592
Sabah,2000-01-01,478775,522802
