date,type,fuel,registrations
1/1/2000,car,diesel,347
1/2/2000,car,diesel,228
1/3/2000,car,diesel,337
1/4/2000,car,diesel,320
1/5/2000,car,diesel,410
1/6/2000,car,diesel,355
1/7/2000,car,diesel,423
1/8/2000,car,diesel,393
1/9/2000,car,diesel,391
1/10/2000,car,diesel,353
1/11/2000,car,diesel,340
1/12/2000,car,diesel,319
1/1/2001,car,diesel,321
1/2/2001,car,diesel,291
1/3/2001,car,diesel,405
1/4/2001,car,diesel,359
1/5/2001,car,diesel,324
1/6/2001,car,diesel,307
1/7/2001,car,diesel,352
1/8/2001,car,diesel,366
1/9/2001,car,diesel,374
1/10/2001,car,diesel,341
1/11/2001,car,diesel,289
1/12/2001,car,diesel,258
1/1/2002,car,diesel,341
1/2/2002,car,diesel,241
1/3/2002,car,diesel,343
1/4/2002,car,diesel,309
1/5/2002,car,diesel,368
1/6/2002,car,diesel,274
1/7/2002,car,diesel,375
1/8/2002,car,diesel,341
1/9/2002,car,diesel,427
1/10/2002,car,diesel,435
1/11/2002,car,diesel,367
1/12/2002,car,diesel,332
1/1/2003,car,diesel,397
1/2/2003,car,diesel,176
1/3/2003,car,diesel,299
1/4/2003,car,diesel,302
1/5/2003,car,diesel,258
1/6/2003,car,diesel,278
1/7/2003,car,diesel,350
1/8/2003,car,diesel,362
1/9/2003,car,diesel,293
1/10/2003,car,diesel,275
1/11/2003,car,diesel,251
1/12/2003,car,diesel,272
1/1/2004,car,diesel,265
1/2/2004,car,diesel,214
1/3/2004,car,diesel,529
1/4/2004,car,diesel,338
1/5/2004,car,diesel,333
1/6/2004,car,diesel,274
1/7/2004,car,diesel,406
1/8/2004,car,diesel,362
1/9/2004,car,diesel,380
1/10/2004,car,diesel,416
1/11/2004,car,diesel,379
1/12/2004,car,diesel,429
1/1/2005,car,diesel,335
1/2/2005,car,diesel,265
1/3/2005,car,diesel,327
1/4/2005,car,diesel,299
1/5/2005,car,diesel,314
1/6/2005,car,diesel,314
1/7/2005,car,diesel,303
1/8/2005,car,diesel,290
1/9/2005,car,diesel,259
1/10/2005,car,diesel,241
1/11/2005,car,diesel,228
1/12/2005,car,diesel,285
1/1/2006,car,diesel,206
1/2/2006,car,diesel,125
1/3/2006,car,diesel,210
1/4/2006,car,diesel,147
1/5/2006,car,diesel,161
1/6/2006,car,diesel,162
1/7/2006,car,diesel,151
1/8/2006,car,diesel,184
1/9/2006,car,diesel,117
1/10/2006,car,diesel,136
1/11/2006,car,diesel,154
1/12/2006,car,diesel,133
1/1/2007,car,diesel,154
1/2/2007,car,diesel,151
1/3/2007,car,diesel,173
1/4/2007,car,diesel,135
1/5/2007,car,diesel,157
1/6/2007,car,diesel,134
1/7/2007,car,diesel,151
1/8/2007,car,diesel,135
1/9/2007,car,diesel,125
1/10/2007,car,diesel,147
1/11/2007,car,diesel,156
1/12/2007,car,diesel,201
1/1/2008,car,diesel,182
1/2/2008,car,diesel,130
1/3/2008,car,diesel,155
1/4/2008,car,diesel,190
1/5/2008,car,diesel,125
1/6/2008,car,diesel,119
1/7/2008,car,diesel,155
1/8/2008,car,diesel,106
1/9/2008,car,diesel,105
1/10/2008,car,diesel,71
1/11/2008,car,diesel,75
1/12/2008,car,diesel,75
1/1/2009,car,diesel,73
1/2/2009,car,diesel,54
1/3/2009,car,diesel,88
1/4/2009,car,diesel,72
1/5/2009,car,diesel,67
1/6/2009,car,diesel,87
1/7/2009,car,diesel,97
1/8/2009,car,diesel,103
1/9/2009,car,diesel,85
1/10/2009,car,diesel,90
1/11/2009,car,diesel,132
1/12/2009,car,diesel,119
1/1/2010,car,diesel,98
1/2/2010,car,diesel,99
1/3/2010,car,diesel,147
1/4/2010,car,diesel,138
1/5/2010,car,diesel,127
1/6/2010,car,diesel,148
1/7/2010,car,diesel,125
1/8/2010,car,diesel,96
1/9/2010,car,diesel,117
1/10/2010,car,diesel,142
1/11/2010,car,diesel,100
1/12/2010,car,diesel,123
1/1/2011,car,diesel,135
1/2/2011,car,diesel,118
1/3/2011,car,diesel,173
1/4/2011,car,diesel,233
1/5/2011,car,diesel,155
1/6/2011,car,diesel,214
1/7/2011,car,diesel,230
1/8/2011,car,diesel,202
1/9/2011,car,diesel,145
1/10/2011,car,diesel,218
1/11/2011,car,diesel,267
1/12/2011,car,diesel,307
1/1/2012,car,diesel,252
1/2/2012,car,diesel,204
1/3/2012,car,diesel,269
1/4/2012,car,diesel,298
1/5/2012,car,diesel,237
1/6/2012,car,diesel,235
1/7/2012,car,diesel,300
1/8/2012,car,diesel,246
1/9/2012,car,diesel,241
1/10/2012,car,diesel,270
1/11/2012,car,diesel,216
1/12/2012,car,diesel,432
1/1/2013,car,diesel,181
1/2/2013,car,diesel,163
1/3/2013,car,diesel,209
1/4/2013,car,diesel,237
1/5/2013,car,diesel,169
1/6/2013,car,diesel,200
1/7/2013,car,diesel,263
1/8/2013,car,diesel,188
1/9/2013,car,diesel,310
1/10/2013,car,diesel,237
1/11/2013,car,diesel,187
1/12/2013,car,diesel,272
1/1/2014,car,diesel,258
1/2/2014,car,diesel,213
1/3/2014,car,diesel,230
1/4/2014,car,diesel,224
1/5/2014,car,diesel,196
1/6/2014,car,diesel,176
1/7/2014,car,diesel,169
1/8/2014,car,diesel,179
1/9/2014,car,diesel,204
1/10/2014,car,diesel,218
1/11/2014,car,diesel,231
1/12/2014,car,diesel,306
1/1/2015,car,diesel,221
1/2/2015,car,diesel,167
1/3/2015,car,diesel,219
1/4/2015,car,diesel,119
1/5/2015,car,diesel,198
1/6/2015,car,diesel,239
1/7/2015,car,diesel,161
1/8/2015,car,diesel,112
1/9/2015,car,diesel,134
1/10/2015,car,diesel,130
1/11/2015,car,diesel,134
1/12/2015,car,diesel,199
1/1/2016,car,diesel,133
1/2/2016,car,diesel,76
1/3/2016,car,diesel,120
1/4/2016,car,diesel,88
1/5/2016,car,diesel,93
1/6/2016,car,diesel,145
1/7/2016,car,diesel,112
1/8/2016,car,diesel,131
1/9/2016,car,diesel,142
1/10/2016,car,diesel,145
1/11/2016,car,diesel,102
1/12/2016,car,diesel,116
1/1/2017,car,diesel,128
1/2/2017,car,diesel,61
1/3/2017,car,diesel,135
1/4/2017,car,diesel,120
1/5/2017,car,diesel,144
1/6/2017,car,diesel,114
1/7/2017,car,diesel,130
1/8/2017,car,diesel,291
1/9/2017,car,diesel,146
1/10/2017,car,diesel,246
1/11/2017,car,diesel,188
1/12/2017,car,diesel,164
1/1/2018,car,diesel,244
1/2/2018,car,diesel,259
1/3/2018,car,diesel,260
1/4/2018,car,diesel,226
1/5/2018,car,diesel,164
1/6/2018,car,diesel,433
1/7/2018,car,diesel,333
1/8/2018,car,diesel,398
1/9/2018,car,diesel,276
1/10/2018,car,diesel,269
1/11/2018,car,diesel,284
1/12/2018,car,diesel,270
1/1/2019,car,diesel,325
1/2/2019,car,diesel,140
1/3/2019,car,diesel,207
1/4/2019,car,diesel,192
1/5/2019,car,diesel,303
1/6/2019,car,diesel,202
1/7/2019,car,diesel,251
1/8/2019,car,diesel,306
1/9/2019,car,diesel,269
1/10/2019,car,diesel,301
1/11/2019,car,diesel,274
1/12/2019,car,diesel,332
1/1/2020,car,diesel,380
1/2/2020,car,diesel,218
1/3/2020,car,diesel,126
1/5/2020,car,diesel,78
1/6/2020,car,diesel,153
1/7/2020,car,diesel,257
1/8/2020,car,diesel,209
1/9/2020,car,diesel,364
1/10/2020,car,diesel,312
1/11/2020,car,diesel,186
1/12/2020,car,diesel,150
1/1/2021,car,diesel,114
1/2/2021,car,diesel,132
1/3/2021,car,diesel,233
1/4/2021,car,diesel,245
1/5/2021,car,diesel,200
1/6/2021,car,diesel,7
1/7/2021,car,diesel,50
1/8/2021,car,diesel,118
1/9/2021,car,diesel,277
1/10/2021,car,diesel,238
1/11/2021,car,diesel,211
1/12/2021,car,diesel,413
1/1/2022,car,diesel,392
1/2/2022,car,diesel,185
1/3/2022,car,diesel,392
1/4/2022,car,diesel,258
1/5/2022,car,diesel,375
1/6/2022,car,diesel,420
1/7/2022,car,diesel,420
1/8/2022,car,diesel,407
1/9/2022,car,diesel,363
1/10/2022,car,diesel,284
1/11/2022,car,diesel,325
1/12/2022,car,diesel,327
1/1/2023,car,diesel,535
1/2/2023,car,diesel,541
1/3/2023,car,diesel,581
1/4/2023,car,diesel,419
1/5/2023,car,diesel,412
1/6/2023,car,diesel,416
1/7/2023,car,diesel,392
1/8/2023,car,diesel,458
1/9/2023,car,diesel,382
1/10/2023,car,diesel,372
1/11/2023,car,diesel,315
1/12/2023,car,diesel,412
1/1/2024,car,diesel,395
1/2/2024,car,diesel,318
1/3/2024,car,diesel,397
1/4/2024,car,diesel,346
1/5/2024,car,diesel,294
1/6/2024,car,diesel,280
1/7/2024,car,diesel,290
1/8/2024,car,diesel,250
1/9/2024,car,diesel,222
1/10/2024,car,diesel,222
1/11/2024,car,diesel,233
1/12/2024,car,diesel,288
1/1/2025,car,diesel,372
1/2/2025,car,diesel,1268
1/3/2025,car,diesel,1108
1/4/2025,car,diesel,560
1/5/2025,car,diesel,363
1/6/2025,car,diesel,257
1/7/2025,car,diesel,256
1/8/2025,car,diesel,277
1/9/2025,car,diesel,261
1/10/2025,car,diesel,259
1/11/2025,car,diesel,225
1/12/2025,car,diesel,224
1/1/2026,car,diesel,180
1/2/2026,car,diesel,213
1/3/2026,car,diesel,193
1/4/2026,car,diesel,191
1/7/2009,car,electric,1
1/10/2011,car,electric,6
1/2/2012,car,electric,2
1/3/2012,car,electric,9
1/9/2012,car,electric,14
1/2/2013,car,electric,1
1/7/2013,car,electric,2
1/10/2013,car,electric,4
1/11/2013,car,electric,3
1/12/2013,car,electric,7
1/1/2014,car,electric,3
1/7/2014,car,electric,2
1/8/2014,car,electric,3
1/9/2014,car,electric,6
1/10/2014,car,electric,1
1/11/2014,car,electric,6
1/12/2014,car,electric,6
1/1/2015,car,electric,11
1/2/2015,car,electric,1
1/3/2015,car,electric,4
1/4/2015,car,electric,6
1/5/2015,car,electric,11
1/7/2015,car,electric,3
1/8/2015,car,electric,4
1/9/2015,car,electric,1
1/10/2015,car,electric,6
1/11/2015,car,electric,3
1/12/2015,car,electric,5
1/1/2016,car,electric,1
1/2/2016,car,electric,10
1/3/2016,car,electric,2
1/4/2016,car,electric,5
1/5/2016,car,electric,1
1/6/2016,car,electric,1
1/7/2016,car,electric,1
1/8/2016,car,electric,2
1/9/2016,car,electric,2
1/10/2016,car,electric,2
1/11/2016,car,electric,5
1/12/2016,car,electric,9
1/1/2017,car,electric,3
1/2/2017,car,electric,4
1/3/2017,car,electric,2
1/4/2017,car,electric,7
1/5/2017,car,electric,6
1/7/2017,car,electric,1
1/9/2017,car,electric,1
1/12/2017,car,electric,1
1/1/2018,car,electric,3
1/3/2018,car,electric,1
1/4/2018,car,electric,1
1/6/2018,car,electric,1
1/8/2018,car,electric,2
1/12/2018,car,electric,2
1/1/2019,car,electric,4
1/3/2019,car,electric,1
1/7/2019,car,electric,17
1/8/2019,car,electric,9
1/9/2019,car,electric,4
1/10/2019,car,electric,5
1/12/2019,car,electric,4
1/1/2020,car,electric,5
1/2/2020,car,electric,5
1/3/2020,car,electric,3
1/5/2020,car,electric,1
1/6/2020,car,electric,3
1/7/2020,car,electric,4
1/8/2020,car,electric,1
1/9/2020,car,electric,8
1/10/2020,car,electric,17
1/11/2020,car,electric,16
1/12/2020,car,electric,8
1/1/2021,car,electric,6
1/2/2021,car,electric,14
1/3/2021,car,electric,24
1/4/2021,car,electric,24
1/5/2021,car,electric,32
1/6/2021,car,electric,1
1/7/2021,car,electric,12
1/8/2021,car,electric,58
1/9/2021,car,electric,41
1/10/2021,car,electric,23
1/11/2021,car,electric,13
1/12/2021,car,electric,9
1/1/2022,car,electric,12
1/2/2022,car,electric,37
1/3/2022,car,electric,119
1/4/2022,car,electric,249
1/5/2022,car,electric,134
1/6/2022,car,electric,154
1/7/2022,car,electric,156
1/8/2022,car,electric,199
1/9/2022,car,electric,474
1/10/2022,car,electric,327
1/11/2022,car,electric,422
1/12/2022,car,electric,846
1/1/2023,car,electric,365
1/2/2023,car,electric,481
1/3/2023,car,electric,926
1/4/2023,car,electric,681
1/5/2023,car,electric,1074
1/6/2023,car,electric,882
1/7/2023,car,electric,937
1/8/2023,car,electric,1144
1/9/2023,car,electric,898
1/10/2023,car,electric,1372
1/11/2023,car,electric,1558
1/12/2023,car,electric,2983
1/1/2024,car,electric,1403
1/2/2024,car,electric,1026
1/3/2024,car,electric,2260
1/4/2024,car,electric,1609
1/5/2024,car,electric,2453
1/6/2024,car,electric,1912
1/7/2024,car,electric,1884
1/8/2024,car,electric,1774
1/9/2024,car,electric,1513
1/10/2024,car,electric,1569
1/11/2024,car,electric,1805
1/12/2024,car,electric,2581
1/1/2025,car,electric,1691
1/2/2025,car,electric,2160
1/3/2025,car,electric,2976
1/4/2025,car,electric,2892
1/5/2025,car,electric,4152
1/6/2025,car,electric,3272
1/7/2025,car,electric,2792
1/8/2025,car,electric,3461
1/9/2025,car,electric,3532
1/10/2025,car,electric,4345
1/11/2025,car,electric,5417
1/12/2025,car,electric,8123
1/1/2026,car,electric,6239
1/2/2026,car,electric,3635
1/3/2026,car,electric,4717
1/4/2026,car,electric,5894
1/1/2000,car,greendiesel,794
1/2/2000,car,greendiesel,589
1/3/2000,car,greendiesel,893
1/4/2000,car,greendiesel,909
1/5/2000,car,greendiesel,901
1/6/2000,car,greendiesel,827
1/7/2000,car,greendiesel,952
1/8/2000,car,greendiesel,973
1/9/2000,car,greendiesel,1042
1/10/2000,car,greendiesel,1071
1/11/2000,car,greendiesel,1017
1/12/2000,car,greendiesel,810
1/1/2001,car,greendiesel,874
1/2/2001,car,greendiesel,979
1/3/2001,car,greendiesel,1228
1/4/2001,car,greendiesel,1156
1/5/2001,car,greendiesel,1171
1/6/2001,car,greendiesel,1042
1/7/2001,car,greendiesel,1268
1/8/2001,car,greendiesel,1228
1/9/2001,car,greendiesel,1138
1/10/2001,car,greendiesel,1194
1/11/2001,car,greendiesel,1179
1/12/2001,car,greendiesel,929
1/1/2002,car,greendiesel,1233
1/2/2002,car,greendiesel,1025
1/3/2002,car,greendiesel,1168
1/4/2002,car,greendiesel,1304
1/5/2002,car,greendiesel,1186
1/6/2002,car,greendiesel,1044
1/7/2002,car,greendiesel,1352
1/8/2002,car,greendiesel,1300
1/9/2002,car,greendiesel,1055
1/10/2002,car,greendiesel,1389
1/11/2002,car,greendiesel,1561
1/12/2002,car,greendiesel,1145
1/1/2003,car,greendiesel,1774
1/2/2003,car,greendiesel,910
1/3/2003,car,greendiesel,1319
1/4/2003,car,greendiesel,1376
1/5/2003,car,greendiesel,1388
1/6/2003,car,greendiesel,1269
1/7/2003,car,greendiesel,1920
1/8/2003,car,greendiesel,1744
1/9/2003,car,greendiesel,1439
1/10/2003,car,greendiesel,1555
1/11/2003,car,greendiesel,1225
1/12/2003,car,greendiesel,1515
1/1/2004,car,greendiesel,1290
1/2/2004,car,greendiesel,1449
1/3/2004,car,greendiesel,2050
1/4/2004,car,greendiesel,1952
1/5/2004,car,greendiesel,1662
1/6/2004,car,greendiesel,1958
1/7/2004,car,greendiesel,2111
1/8/2004,car,greendiesel,2069
1/9/2004,car,greendiesel,2121
1/10/2004,car,greendiesel,2142
1/11/2004,car,greendiesel,1869
1/12/2004,car,greendiesel,2355
1/1/2005,car,greendiesel,2185
1/2/2005,car,greendiesel,1681
1/3/2005,car,greendiesel,1818
1/4/2005,car,greendiesel,1891
1/5/2005,car,greendiesel,2606
1/6/2005,car,greendiesel,2520
1/7/2005,car,greendiesel,2656
1/8/2005,car,greendiesel,2432
1/9/2005,car,greendiesel,2255
1/10/2005,car,greendiesel,2508
1/11/2005,car,greendiesel,1892
1/12/2005,car,greendiesel,2773
1/1/2006,car,greendiesel,2621
1/2/2006,car,greendiesel,1980
1/3/2006,car,greendiesel,2569
1/4/2006,car,greendiesel,2092
1/5/2006,car,greendiesel,2408
1/6/2006,car,greendiesel,2319
1/7/2006,car,greendiesel,2036
1/8/2006,car,greendiesel,2045
1/9/2006,car,greendiesel,2103
1/10/2006,car,greendiesel,1941
1/11/2006,car,greendiesel,2304
1/12/2006,car,greendiesel,2414
1/1/2007,car,greendiesel,1797
1/2/2007,car,greendiesel,1863
1/3/2007,car,greendiesel,2192
1/4/2007,car,greendiesel,1841
1/5/2007,car,greendiesel,2108
1/6/2007,car,greendiesel,2358
1/7/2007,car,greendiesel,2430
1/8/2007,car,greendiesel,2725
1/9/2007,car,greendiesel,2419
1/10/2007,car,greendiesel,2160
1/11/2007,car,greendiesel,2335
1/12/2007,car,greendiesel,2500
1/1/2008,car,greendiesel,2346
1/2/2008,car,greendiesel,1995
1/3/2008,car,greendiesel,2370
1/4/2008,car,greendiesel,2766
1/5/2008,car,greendiesel,2412
1/6/2008,car,greendiesel,2277
1/7/2008,car,greendiesel,3082
1/8/2008,car,greendiesel,2573
1/9/2008,car,greendiesel,2475
1/10/2008,car,greendiesel,2366
1/11/2008,car,greendiesel,2930
1/12/2008,car,greendiesel,3139
1/1/2009,car,greendiesel,2136
1/2/2009,car,greendiesel,2194
1/3/2009,car,greendiesel,2836
1/4/2009,car,greendiesel,2590
1/5/2009,car,greendiesel,2642
1/6/2009,car,greendiesel,2658
1/7/2009,car,greendiesel,3019
1/8/2009,car,greendiesel,2968
1/9/2009,car,greendiesel,2714
1/10/2009,car,greendiesel,3068
1/11/2009,car,greendiesel,3113
1/12/2009,car,greendiesel,3580
1/1/2010,car,greendiesel,3345
1/2/2010,car,greendiesel,2902
1/3/2010,car,greendiesel,4036
1/4/2010,car,greendiesel,3786
1/5/2010,car,greendiesel,3555
1/6/2010,car,greendiesel,3678
1/7/2010,car,greendiesel,3764
1/8/2010,car,greendiesel,3801
1/9/2010,car,greendiesel,3428
1/10/2010,car,greendiesel,4555
1/11/2010,car,greendiesel,4331
1/12/2010,car,greendiesel,4534
1/1/2011,car,greendiesel,4298
1/2/2011,car,greendiesel,3107
1/3/2011,car,greendiesel,5647
1/4/2011,car,greendiesel,4429
1/5/2011,car,greendiesel,3844
1/6/2011,car,greendiesel,3591
1/7/2011,car,greendiesel,3979
1/8/2011,car,greendiesel,4751
1/9/2011,car,greendiesel,3400
1/10/2011,car,greendiesel,5004
1/11/2011,car,greendiesel,4807
1/12/2011,car,greendiesel,4009
1/1/2012,car,greendiesel,3067
1/2/2012,car,greendiesel,3969
1/3/2012,car,greendiesel,4932
1/4/2012,car,greendiesel,4869
1/5/2012,car,greendiesel,5354
1/6/2012,car,greendiesel,5202
1/7/2012,car,greendiesel,5981
1/8/2012,car,greendiesel,5042
1/9/2012,car,greendiesel,4226
1/10/2012,car,greendiesel,5070
1/11/2012,car,greendiesel,5201
1/12/2012,car,greendiesel,5478
1/1/2013,car,greendiesel,5204
1/2/2013,car,greendiesel,3567
1/3/2013,car,greendiesel,5802
1/4/2013,car,greendiesel,5482
1/5/2013,car,greendiesel,4662
1/6/2013,car,greendiesel,4816
1/7/2013,car,greendiesel,6071
1/8/2013,car,greendiesel,4773
1/9/2013,car,greendiesel,4913
1/10/2013,car,greendiesel,5753
1/11/2013,car,greendiesel,4875
1/12/2013,car,greendiesel,5399
1/1/2014,car,greendiesel,5196
1/2/2014,car,greendiesel,3760
1/3/2014,car,greendiesel,5364
1/4/2014,car,greendiesel,5235
1/5/2014,car,greendiesel,4722
1/6/2014,car,greendiesel,4921
1/7/2014,car,greendiesel,5684
1/8/2014,car,greendiesel,4910
1/9/2014,car,greendiesel,4847
1/10/2014,car,greendiesel,5015
1/11/2014,car,greendiesel,4826
1/12/2014,car,greendiesel,6086
1/1/2015,car,greendiesel,4852
1/2/2015,car,greendiesel,4330
1/3/2015,car,greendiesel,5951
1/4/2015,car,greendiesel,3040
1/5/2015,car,greendiesel,4063
1/6/2015,car,greendiesel,5304
1/7/2015,car,greendiesel,4945
1/8/2015,car,greendiesel,4734
1/9/2015,car,greendiesel,4657
1/10/2015,car,greendiesel,5309
1/11/2015,car,greendiesel,5101
1/12/2015,car,greendiesel,6535
1/1/2016,car,greendiesel,3954
1/2/2016,car,greendiesel,2985
1/3/2016,car,greendiesel,4317
1/4/2016,car,greendiesel,2853
1/5/2016,car,greendiesel,4294
1/6/2016,car,greendiesel,4932
1/7/2016,car,greendiesel,3692
1/8/2016,car,greendiesel,4707
1/9/2016,car,greendiesel,4244
1/10/2016,car,greendiesel,4197
1/11/2016,car,greendiesel,4159
1/12/2016,car,greendiesel,4750
1/1/2017,car,greendiesel,3531
1/2/2017,car,greendiesel,3026
1/3/2017,car,greendiesel,4442
1/4/2017,car,greendiesel,3435
1/5/2017,car,greendiesel,4009
1/6/2017,car,greendiesel,3793
1/7/2017,car,greendiesel,3424
1/8/2017,car,greendiesel,4241
1/9/2017,car,greendiesel,2945
1/10/2017,car,greendiesel,3922
1/11/2017,car,greendiesel,4462
1/12/2017,car,greendiesel,4466
1/1/2018,car,greendiesel,3928
1/2/2018,car,greendiesel,3047
1/3/2018,car,greendiesel,4036
1/4/2018,car,greendiesel,3963
1/5/2018,car,greendiesel,2308
1/6/2018,car,greendiesel,5030
1/7/2018,car,greendiesel,5875
1/8/2018,car,greendiesel,8422
1/9/2018,car,greendiesel,2391
1/10/2018,car,greendiesel,3463
1/11/2018,car,greendiesel,3353
1/12/2018,car,greendiesel,3618
1/1/2019,car,greendiesel,3950
1/2/2019,car,greendiesel,2466
1/3/2019,car,greendiesel,3573
1/4/2019,car,greendiesel,3367
1/5/2019,car,greendiesel,3731
1/6/2019,car,greendiesel,2740
1/7/2019,car,greendiesel,3723
1/8/2019,car,greendiesel,3046
1/9/2019,car,greendiesel,3048
1/10/2019,car,greendiesel,3479
1/11/2019,car,greendiesel,3272
1/12/2019,car,greendiesel,3613
1/1/2020,car,greendiesel,2809
1/2/2020,car,greendiesel,3132
1/3/2020,car,greendiesel,1728
1/4/2020,car,greendiesel,7
1/5/2020,car,greendiesel,1924
1/6/2020,car,greendiesel,2954
1/7/2020,car,greendiesel,4289
1/8/2020,car,greendiesel,3628
1/9/2020,car,greendiesel,3277
1/10/2020,car,greendiesel,2873
1/11/2020,car,greendiesel,3809
1/12/2020,car,greendiesel,4824
1/1/2021,car,greendiesel,2745
1/2/2021,car,greendiesel,3750
1/3/2021,car,greendiesel,4814
1/4/2021,car,greendiesel,3835
1/5/2021,car,greendiesel,3460
1/6/2021,car,greendiesel,77
1/7/2021,car,greendiesel,1468
1/8/2021,car,greendiesel,1478
1/9/2021,car,greendiesel,4586
1/10/2021,car,greendiesel,5267
1/11/2021,car,greendiesel,4324
1/12/2021,car,greendiesel,5462
