Year,Month,Transit_Mode,Ridership
2025,January,Kelana Jaya (LRT),7199444
2025,February,Kelana Jaya (LRT),6969645
2025,March,Kelana Jaya (LRT),7174483
2025,April,Kelana Jaya (LRT),7285351
2025,May,Kelana Jaya (LRT),7531075
2025,June,Kelana Jaya (LRT),7055985
2025,July,Kelana Jaya (LRT),8236230
2025,August,Kelana Jaya (LRT),8095935
2025,September,Kelana Jaya (LRT),7143358
2025,October,Kelana Jaya (LRT),7739381
2025,November,Kelana Jaya (LRT),7417502
2025,December,Kelana Jaya (LRT),7784113
2024,January,Kelana Jaya (LRT),6591331
2024,February,Kelana Jaya (LRT),6236607
2024,March,Kelana Jaya (LRT),6937237
2024,April,Kelana Jaya (LRT),6445256
2024,May,Kelana Jaya (LRT),7206997
2024,June,Kelana Jaya (LRT),6555829
2024,July,Kelana Jaya (LRT),7559800
2024,August,Kelana Jaya (LRT),7596795
2024,September,Kelana Jaya (LRT),6900403
2024,October,Kelana Jaya (LRT),7724881
2024,November,Kelana Jaya (LRT),7437276
2024,December,Kelana Jaya (LRT),7540885
2023,January,Kelana Jaya (LRT),5465184
2023,February,Kelana Jaya (LRT),5350230
2023,March,Kelana Jaya (LRT),6489551
2023,April,Kelana Jaya (LRT),5399898
2023,May,Kelana Jaya (LRT),6067411
2023,June,Kelana Jaya (LRT),5940788
2023,July,Kelana Jaya (LRT),6229737
2023,August,Kelana Jaya (LRT),6583736
2023,September,Kelana Jaya (LRT),6302197
2023,October,Kelana Jaya (LRT),6824938
2023,November,Kelana Jaya (LRT),6630252
2023,December,Kelana Jaya (LRT),6479670
2022,January,Kelana Jaya (LRT),3470403
2022,February,Kelana Jaya (LRT),2642564
2022,March,Kelana Jaya (LRT),3328621
2022,April,Kelana Jaya (LRT),3819735
2022,May,Kelana Jaya (LRT),4335519
2022,June,Kelana Jaya (LRT),5426364
2022,July,Kelana Jaya (LRT),5360964
2022,August,Kelana Jaya (LRT),5491587
2022,September,Kelana Jaya (LRT),5456094
2022,October,Kelana Jaya (LRT),5470987
2022,November,Kelana Jaya (LRT),4391529
2022,December,Kelana Jaya (LRT),5821398
2021,January,Kelana Jaya (LRT),1980365
2021,February,Kelana Jaya (LRT),1824987
2021,March,Kelana Jaya (LRT),3033861
2021,April,Kelana Jaya (LRT),3266042
2021,May,Kelana Jaya (LRT),1904752
2021,June,Kelana Jaya (LRT),833847
2021,July,Kelana Jaya (LRT),897012
2021,August,Kelana Jaya (LRT),1093605
2021,September,Kelana Jaya (LRT),1634423
2021,October,Kelana Jaya (LRT),2355921
2021,November,Kelana Jaya (LRT),2962250
2021,December,Kelana Jaya (LRT),3336549
2025,January,Ampang (LRT),5583947
2025,February,Ampang (LRT),5412652
2025,March,Ampang (LRT),5755933
2025,April,Ampang (LRT),5661642
2025,May,Ampang (LRT),6216005
2025,June,Ampang (LRT),5710467
2025,July,Ampang (LRT),6350274
2025,August,Ampang (LRT),6343844
2025,September,Ampang (LRT),5664639
2025,October,Ampang (LRT),6205243
2025,November,Ampang (LRT),5909107
2025,December,Ampang (LRT),6205647
2024,January,Ampang (LRT),4505943
2024,February,Ampang (LRT),4430513
2024,March,Ampang (LRT),5196908
2024,April,Ampang (LRT),4894934
2024,May,Ampang (LRT),5607473
2024,June,Ampang (LRT),5196642
2024,July,Ampang (LRT),5626609
2024,August,Ampang (LRT),5781159
2024,September,Ampang (LRT),5365130
2024,October,Ampang (LRT),5918334
2024,November,Ampang (LRT),5718327
2024,December,Ampang (LRT),5780943
2023,January,Ampang (LRT),4319239
2023,February,Ampang (LRT),3616881
2023,March,Ampang (LRT),4308679
2023,April,Ampang (LRT),3338686
