origin,destination,date,ridership
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-01,620
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-02,928
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-03,696
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-04,562
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-05,1218
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-06,1250
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-07,1295
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-08,1172
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-09,1185
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-10,833
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-11,600
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-12,1493
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-13,1570
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-14,1582
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-15,1580
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-16,1496
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-17,892
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-18,595
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-19,1509
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-20,1546
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-21,1615
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-22,1527
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-23,1504
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-24,879
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-25,610
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-26,1477
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-27,1506
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-28,1511
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-29,1501
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-30,1521
A0: All Stations,BRT01: Sunway-Setia Jaya,2026-01-31,918
