state,date,households,living_quarters
Selangor,1970-01-01,283488,278291
Selangor,1980-01-01,267384,285294
Selangor,1991-01-01,466142,540929
Selangor,2000-01-01,861444,931029
Selangor,2010-01-01,1380490,1595200
Selangor,2011-01-01,1430900,1644400
Selangor,2012-01-01,1479400,1685500
Selangor,2013-01-01,1527700,1726800
Selangor,2014-01-01,1575200,1768100
Selangor,2015-01-01,1622000,1809300
Selangor,2016-01-01,1668500,1850300
Selangor,2017-01-01,1714600,1891000
Selangor,2018-01-01,1760000,1931200
Selangor,2019-01-01,1804200,1971000
Selangor,2020-01-01,1836410,2101896
Selangor,2021-01-01,1894200,2164200
Selangor,2022-01-01,1952800,2227500
Selangor,2023-01-01,2012500,2291900
Selangor,2024-01-01,2073199,2357400
W.P. Kuala Lumpur,1980-01-01,188969,169776
W.P. Kuala Lumpur,1991-01-01,244267,264585
W.P. Kuala Lumpur,2000-01-01,308006,354731
W.P. Kuala Lumpur,2010-01-01,444800,477700
W.P. Kuala Lumpur,2011-01-01,457900,485400
W.P. Kuala Lumpur,2012-01-01,470500,493000
W.P. Kuala Lumpur,2013-01-01,483000,500400
W.P. Kuala Lumpur,2014-01-01,495200,507900
W.P. Kuala Lumpur,2015-01-01,507200,515200
W.P. Kuala Lumpur,2016-01-01,519000,522500
W.P. Kuala Lumpur,2017-01-01,530600,529700
W.P. Kuala Lumpur,2018-01-01,541800,536700
W.P. Kuala Lumpur,2019-01-01,552700,543500
W.P. Kuala Lumpur,2020-01-01,573529,634639
W.P. Kuala Lumpur,2021-01-01,591500,653900
W.P. Kuala Lumpur,2022-01-01,609800,673500
W.P. Kuala Lumpur,2023-01-01,628300,693400
W.P. Kuala Lumpur,2024-01-01,647100,713500
