state,date,income_mean,income_median
Selangor,1/1/1970,421,
Selangor,1/1/1974,598,363
Selangor,1/1/1976,735,441
Selangor,1/1/1979,1067,647
Selangor,1/1/1984,1590,1010
Selangor,1/1/1987,1558,1049
Selangor,1/1/1989,1658,1145
Selangor,1/1/1992,2280,1572
Selangor,1/1/1995,3162,2255
Selangor,1/1/1997,4006,2850
Selangor,1/1/1999,3702,2750
Selangor,1/1/2002,4406,3144
Selangor,1/1/2004,5175,3588
Selangor,1/1/2007,5580,4046
Selangor,1/1/2009,5962,4306
Selangor,1/1/2012,7023,5353
Selangor,1/1/2014,8252,6214
Selangor,1/1/2016,9463,7225
Selangor,1/1/2019,10827,8210
Selangor,1/1/2020,9668,7300
Selangor,1/1/2022,12233,9983
W.P. Kuala Lumpur,1/1/1976,1058,645
W.P. Kuala Lumpur,1/1/1984,1920,1217
W.P. Kuala Lumpur,1/1/1987,1790,1180
W.P. Kuala Lumpur,1/1/1989,1824,1294
W.P. Kuala Lumpur,1/1/1992,2429,1753
W.P. Kuala Lumpur,1/1/1995,3371,2321
W.P. Kuala Lumpur,1/1/1997,4768,3090
W.P. Kuala Lumpur,1/1/1999,4105,2828
W.P. Kuala Lumpur,1/1/2002,4930,3364
W.P. Kuala Lumpur,1/1/2004,5011,3336
W.P. Kuala Lumpur,1/1/2007,5322,3697
W.P. Kuala Lumpur,1/1/2009,5488,4409
W.P. Kuala Lumpur,1/1/2012,8586,5847
W.P. Kuala Lumpur,1/1/2014,10629,7620
W.P. Kuala Lumpur,1/1/2016,11692,9073
W.P. Kuala Lumpur,1/1/2019,13257,10549
W.P. Kuala Lumpur,1/1/2020,11728,9093
W.P. Kuala Lumpur,1/1/2022,13325,10234
