Year,,Kelana Jaya (LRT),Ampang (LRT),KL Monorail,Kajang (MRT),Putrajaya (MRT),KL (BUS),Penang (BUS),Kuantan (BUS),Total Ridership
2025,January,"7,199,444","5,583,947","1,812,766","7,474,956","4,324,708","6,300,772","1,500,325","70,019","34,266,937"
2025,February,"6,969,645","5,412,652","1,630,089","7,039,197","4,147,600","6,116,351","1,302,770","69,469","32,687,773"
2025,March,"7,174,483","5,755,933","1,632,663","7,142,305","4,305,723","6,473,286","1,372,950","76,427","33,933,770"
2025,April,"7,285,351","5,661,642","1,659,426","7,389,774","4,485,310","6,704,021","1,383,024","76,647","34,645,195"
2025,May,"7,531,075","6,216,005","1,773,505","7,823,203","4,716,456","6,847,315","1,444,377","74,003","36,425,939"
2025,June,"7,055,985","5,710,467","1,689,666","7,527,345","4,479,168","6,509,133","1,422,570","69,230","34,463,564"
2025,July,"8,236,230","6,350,274","1,858,680","8,322,586","5,110,482","6,793,122","1,553,555","73,397","38,298,326"
2025,August,"8,095,935","6,343,844","1,892,143","8,301,044","5,052,583","6,709,801","1,554,570","72,755","38,022,675"
2025,September,"7,143,358","5,664,639","1,657,494","7,530,148","4,543,928","5,954,738","1,410,465","65,261","33,970,031"
2025,October,"7,739,381","6,205,243","1,846,749","8,015,428","4,753,510","6,640,671","1,505,452","67,012","36,773,446"
2025,November,"7,417,502","5,909,107","1,731,604","7,803,280","4,759,332","6,455,930","1,429,791","53,582","35,560,128"
2025,December,"7,784,113","6,205,647","1,916,425","8,368,266","4,991,264","6,485,099","1,522,643","24,237","37,297,694"
2024,January,"6,591,331","4,505,943","1,680,097","6,506,378","3,651,371","6,084,147","1,305,557","81,008","30,405,832"
2024,February,"6,236,607","4,430,513","1,602,411","6,167,840","3,364,322","5,558,775","1,292,809","76,089","28,729,366"
2024,March,"6,937,237","5,196,908","1,607,756","6,650,215","3,746,093","6,104,762","1,302,072","82,407","31,627,450"
2024,April,"6,445,256","4,894,934","1,557,086","6,262,373","3,575,514","5,709,475","1,283,820","85,920","29,814,378"
2024,May,"7,206,997","5,607,473","1,605,161","7,112,851","4,045,346","6,282,229","1,350,321","88,794","33,299,172"
2024,June,"6,555,829","5,196,642","1,610,528","6,723,816","3,729,030","5,785,825","1,353,180","84,328","31,039,178"
2024,July,"7,559,800","5,626,609","1,681,693","7,471,333","4,27,7136","6,563,009","1,431,116","85,063","34,695,759"
2024,August,"7,596,795","5,781,159","1,752,025","7,515,992","4,390,005","6,662,416","1,418,782","91,994","35,209,168"
2024,September,"6,900,403","5,365,130","1,579,005","7,035,573","4,046,549","6,391,714","1,311,581","82,395","32,712,350"
2024,October,"7,724,881","5,918,334","1,735,628","7,720,239","4,468,723","6,825,476","1,396,412","77,464","35,867,157"
2024,November,"7,437,276","5,718,327","1,719,825","7,499,351","4,360,372","6,680,696","1,355,805","64,348","34,836,000"
2024,December,"7,540,885","5,780,943","1,901,177","7,855,033","4,471,649","6,420,026","1,468,776","75,867","35,514,356"
2023,January,"5,465,184","4,319,239","1,207,697","4,557,793","640,429","4,323,631","1,201,332","66,714","21,782,019"
2023,February,"5,350,230","3,616,881","1,311,483","4,392,381","541,466","4,430,186","1,065,326","55,881","20,763,834"
2023,March,"6,489,551","4,308,679","1,580,507","5,525,715","2,036,718","5,749,579","1,164,410","66,538","26,921,697"
2023,April,"5,399,898","3,338,686","1,377,627","4,908,411","2,137,546","5,025,792","1,130,301","58,294","23,376,555"
2023,May,"6,067,411","4,094,851","1,439,986","5,444,245","2,543,049","5,448,988","1,156,742","58,822","26,254,094"
2023,June,"5,940,788","4,143,689","1,453,674","5,405,343","2,542,969","5,161,823","1,150,906","69,127","25,868,319"
2023,July,"6,229,737","4,237,733","1,507,056","5,626,647","2,781,645","5,399,574","1,193,731","75,666","27,051,789"
2023,August,"6,583,736","4,482,065","1,601,305","5,906,244","3,099,685","5,669,349","1,231,974","71,476","28,645,834"
2023,September,"6,302,197","4,282,036","1,519,717","5,714,336","2,987,450","5,511,967","1,177,351","72,147","27,567,201"
2023,October,"6,824,938","4,633,424","1,622,435","6,137,159","3,299,662","6,061,147","1,263,434","74,151","29,916,350"
2023,November,"6,630,252","4,572,190","1,683,327","6,133,584","3,320,682","5,995,334","1,255,180","84,331","29,674,880"
2023,December,"6,479,670","4,561,106","1,802,759","6,749,650","3,62,4550","5,804,593","1,305,892","72,043","30,400,263"
2022,January,"3,470,403","2,828,567","576,678","2,737,126",,"3,380,633","833,600","62,940","13,889,947"
2022,February,"2,642,564","2,171,266","463,079","2,000,682",,"2,789,683","708,432","49,309","10,825,015"
2022,March,"3,328,621","2,693,615","563,548","2,497,966",,"3,206,086","759,594","53,072","13,102,502"
2022,April,"3,819,735","3,228,674","659,124","2,853,546",,"3,442,729","847,552","64,536","14,915,896"
2022,May,"4,335,519","3,339,042","783,838","3,375,471",,"3,727,727","964,905","73,352","16,599,854"
2022,June,"5,426,364","4,344,595","991,170","4,441,552","369,564","4,110,011","973,389","75,150","20,731,795"
2022,July,"5,360,964","4,266,733","1,059,131","4,666,497","688,844","4,299,959","1,024,520","75,807","21,442,455"
2022,August,"5,491,587","4,293,066","1,027,788","4,513,422","579,156","4,632,950","1,054,655","78,115","21,670,739"
2022,September,"5,456,094","4,286,962","1,038,355","4,508,174","605,209","4,223,611","1,031,191","73,403","21,222,999"
2022,October,"5,470,987","4,259,135","1,104,800","4,542,720","629,934","4,322,220","1,087,560","73,735","21,491,091"
2022,November,"4,391,529","3,963,991","1,079,915","4,336,909","610,845","4,346,789","1,054,801","69,408","19,854,187"
2022,December,"5,821,398","4,475,686","1,320,643","4,874,144","664,025","4,266,379","1,123,997","57,844","22,604,116"
2021,January,1980365,1824666,352306,1510475,,3480433,712446,"47,254","9,907,945"
2021,February,1824987,1698744,312303,1423721,,3146247,590784,"41,584","9,038,370"
2021,March,3033861,2601245,502882,2435248,,4270849,822971,"63,370","13,730,426"
2021,April,3266042,2705960,523031,2609911,,4425536,866399,"76,709","14,473,588"
2021,May,1904752,1799251,320320,1524387,,3085264,659810,"41,512","9,335,296"
2021,June,833847,731375,125639,580487,,1500397,326434,"16,220","4,114,399"
2021,July,897012,824844,137369,614041,,1509935,435202,"16,460","4,434,863"
2021,August,1093605,1061950,179144,758049,,1923302,472758,"22,681","5,511,489"
2021,September,1634423,1557367,274935,1294304,,2762507,512799,"32,682","8,069,017"
2021,October,2355921,2034527,407268,1870652,,3376253,659440,"45,256","10,749,317"
2021,November,2962250,2392406,501210,2278009,,3016673,719972,"58,617","11,929,137"
2021,December,3336549,2706638,589922,2673726,,3185245,785842,"52,785","13,330,707"
