date,type,fuel,registrations
2000-01-01,all_types,all_fuels,51261
2000-02-01,all_types,all_fuels,46478
2000-03-01,all_types,all_fuels,57477
2000-04-01,all_types,all_fuels,50941
2000-05-01,all_types,all_fuels,53361
2000-06-01,all_types,all_fuels,50687
2000-07-01,all_types,all_fuels,55177
2000-08-01,all_types,all_fuels,55463
2000-09-01,all_types,all_fuels,50307
2000-10-01,all_types,all_fuels,51998
2000-11-01,all_types,all_fuels,53135
2000-12-01,all_types,all_fuels,49518
2001-01-01,all_types,all_fuels,52232
2001-02-01,all_types,all_fuels,53834
2001-03-01,all_types,all_fuels,55476
2001-04-01,all_types,all_fuels,53882
2001-05-01,all_types,all_fuels,56513
2001-06-01,all_types,all_fuels,54923
2001-07-01,all_types,all_fuels,60489
2001-08-01,all_types,all_fuels,61743
2001-09-01,all_types,all_fuels,55019
2001-10-01,all_types,all_fuels,63544
2001-11-01,all_types,all_fuels,59986
2001-12-01,all_types,all_fuels,49569
2002-01-01,all_types,all_fuels,67350
2002-02-01,all_types,all_fuels,50357
2002-03-01,all_types,all_fuels,60089
2002-04-01,all_types,all_fuels,64061
2002-05-01,all_types,all_fuels,61902
2002-06-01,all_types,all_fuels,56868
2002-07-01,all_types,all_fuels,67013
2002-08-01,all_types,all_fuels,64615
2002-09-01,all_types,all_fuels,53844
2002-10-01,all_types,all_fuels,62163
2002-11-01,all_types,all_fuels,59304
2002-12-01,all_types,all_fuels,46161
2003-01-01,all_types,all_fuels,76462
2003-02-01,all_types,all_fuels,50540
2003-03-01,all_types,all_fuels,63769
2003-04-01,all_types,all_fuels,65088
2003-05-01,all_types,all_fuels,64117
2003-06-01,all_types,all_fuels,64800
2003-07-01,all_types,all_fuels,76166
2003-08-01,all_types,all_fuels,71541
2003-09-01,all_types,all_fuels,66999
2003-10-01,all_types,all_fuels,70340
2003-11-01,all_types,all_fuels,58805
2003-12-01,all_types,all_fuels,61912
2004-01-01,all_types,all_fuels,71630
2004-02-01,all_types,all_fuels,63655
2004-03-01,all_types,all_fuels,81962
2004-04-01,all_types,all_fuels,79626
2004-05-01,all_types,all_fuels,72282
2004-06-01,all_types,all_fuels,83445
2004-07-01,all_types,all_fuels,89411
2004-08-01,all_types,all_fuels,78108
2004-09-01,all_types,all_fuels,83146
2004-10-01,all_types,all_fuels,82160
2004-11-01,all_types,all_fuels,67847
2004-12-01,all_types,all_fuels,79004
2005-01-01,all_types,all_fuels,87251
2005-02-01,all_types,all_fuels,73658
2005-03-01,all_types,all_fuels,95853
2005-04-01,all_types,all_fuels,84251
2005-05-01,all_types,all_fuels,85688
2005-06-01,all_types,all_fuels,89884
2005-07-01,all_types,all_fuels,86178
2005-08-01,all_types,all_fuels,93139
2005-09-01,all_types,all_fuels,91939
2005-10-01,all_types,all_fuels,102395
2005-11-01,all_types,all_fuels,69562
2005-12-01,all_types,all_fuels,86818
2006-01-01,all_types,all_fuels,81977
2006-02-01,all_types,all_fuels,74617
2006-03-01,all_types,all_fuels,95427
2006-04-01,all_types,all_fuels,81400
2006-05-01,all_types,all_fuels,85024
2006-06-01,all_types,all_fuels,80508
2006-07-01,all_types,all_fuels,82050
2006-08-01,all_types,all_fuels,90751
2006-09-01,all_types,all_fuels,84353
2006-10-01,all_types,all_fuels,72647
2006-11-01,all_types,all_fuels,72933
2006-12-01,all_types,all_fuels,72626
2007-01-01,all_types,all_fuels,87455
2007-02-01,all_types,all_fuels,70806
2007-03-01,all_types,all_fuels,83436
2007-04-01,all_types,all_fuels,73743
2007-05-01,all_types,all_fuels,82062
2007-06-01,all_types,all_fuels,84272
2007-07-01,all_types,all_fuels,95071
2007-08-01,all_types,all_fuels,99447
2007-09-01,all_types,all_fuels,90498
2007-10-01,all_types,all_fuels,87392
2007-11-01,all_types,all_fuels,85593
2007-12-01,all_types,all_fuels,82630
2008-01-01,all_types,all_fuels,105890
2008-02-01,all_types,all_fuels,85190
2008-03-01,all_types,all_fuels,95714
2008-04-01,all_types,all_fuels,102459
2008-05-01,all_types,all_fuels,96839
2008-06-01,all_types,all_fuels,106583
2008-07-01,all_types,all_fuels,120834
2008-08-01,all_types,all_fuels,98701
2008-09-01,all_types,all_fuels,107080
2008-10-01,all_types,all_fuels,77442
2008-11-01,all_types,all_fuels,79811
2008-12-01,all_types,all_fuels,80398
2009-01-01,all_types,all_fuels,83896
2009-02-01,all_types,all_fuels,79899
2009-03-01,all_types,all_fuels,89455
2009-04-01,all_types,all_fuels,82218
2009-05-01,all_types,all_fuels,83912
2009-06-01,all_types,all_fuels,86855
2009-07-01,all_types,all_fuels,100439
2009-08-01,all_types,all_fuels,92113
2009-09-01,all_types,all_fuels,87704
2009-10-01,all_types,all_fuels,86345
2009-11-01,all_types,all_fuels,82847
2009-12-01,all_types,all_fuels,89303
2010-01-01,all_types,all_fuels,106679
2010-02-01,all_types,all_fuels,81913
2010-03-01,all_types,all_fuels,113246
2010-04-01,all_types,all_fuels,97497
2010-05-01,all_types,all_fuels,95115
2010-06-01,all_types,all_fuels,103377
2010-07-01,all_types,all_fuels,102949
2010-08-01,all_types,all_fuels,104378
2010-09-01,all_types,all_fuels,85177
2010-10-01,all_types,all_fuels,95732
2010-11-01,all_types,all_fuels,86518
2010-12-01,all_types,all_fuels,99110
2011-01-01,all_types,all_fuels,119081
2011-02-01,all_types,all_fuels,84227
2011-03-01,all_types,all_fuels,120298
2011-04-01,all_types,all_fuels,100159
2011-05-01,all_types,all_fuels,96916
2011-06-01,all_types,all_fuels,93906
2011-07-01,all_types,all_fuels,103084
2011-08-01,all_types,all_fuels,115764
2011-09-01,all_types,all_fuels,89822
2011-10-01,all_types,all_fuels,102969
2011-11-01,all_types,all_fuels,92790
2011-12-01,all_types,all_fuels,92618
2012-01-01,all_types,all_fuels,98722
2012-02-01,all_types,all_fuels,103909
2012-03-01,all_types,all_fuels,112953
2012-04-01,all_types,all_fuels,103993
2012-05-01,all_types,all_fuels,118943
2012-06-01,all_types,all_fuels,112894
2012-07-01,all_types,all_fuels,124527
2012-08-01,all_types,all_fuels,106325
2012-09-01,all_types,all_fuels,97128
2012-10-01,all_types,all_fuels,110772
2012-11-01,all_types,all_fuels,99014
2012-12-01,all_types,all_fuels,110824
2013-01-01,all_types,all_fuels,128181
2013-02-01,all_types,all_fuels,98633
2013-03-01,all_types,all_fuels,117828
2013-04-01,all_types,all_fuels,115024
2013-05-01,all_types,all_fuels,105208
2013-06-01,all_types,all_fuels,106205
2013-07-01,all_types,all_fuels,134516
2013-08-01,all_types,all_fuels,100216
2013-09-01,all_types,all_fuels,105016
2013-10-01,all_types,all_fuels,113856
2013-11-01,all_types,all_fuels,99349
2013-12-01,all_types,all_fuels,106896
2014-01-01,all_types,all_fuels,121425
2014-02-01,all_types,all_fuels,99970
2014-03-01,all_types,all_fuels,117104
2014-04-01,all_types,all_fuels,116268
